Condition,MinSolution,MaxSolution,GrowthRate
CORE,0,0.0511003639527248,0.0486
GP,0,0.753715511059402,0.0486
HS_578T,0,0.0637987535758582,0.013033577
SR,0,0.00502820018549197,0.025987054
NCI_H226,0,0.0459571632297332,0.011473383
UO_31,0,0.158577341127508,0.019171008
MALME_3M,0,0.0379490538957638,0.020798529
HT29,0,0.183626148395594,0.035730055
X786_O,0,0.210107025818782,0.031111255
MDA_MB_231_ATCC,0,0.0988176686395607,0.018027769
RPMI_8226,0,0.137857857946303,0.02270517
HOP_92,0,0.0531908848091354,0.010926773
HOP_62,0,0.10547252372638,0.018333143
