Acyl_CoAHydrolysis,AcylglyceridesMetabolism,Alanine_AspartateAndGlutamateMetabolism,AminoSugarAndNucleotideSugarMetabolism,AndrogenMetabolism,ArginineAndProlineMetabolism,ArtificialReactions,BetaOxidationOfDi_unsaturatedFattyAcids_n_6__mitochondrial_,BetaOxidationOfDi_unsaturatedFattyAcids_n_6__peroxisomal_,BetaOxidationOfEven_chainFattyAcids_mitochondrial_,BetaOxidationOfEven_chainFattyAcids_peroxisomal_,BetaOxidationOfOdd_chainFattyAcids_mitochondrial_,BetaOxidationOfUnsaturatedFattyAcids_n_7__mitochondrial_,BetaOxidationOfUnsaturatedFattyAcids_n_7__peroxisomal_,BetaOxidationOfUnsaturatedFattyAcids_n_9__mitochondrial_,BetaOxidationOfUnsaturatedFattyAcids_n_9__peroxisomal_,Beta_alanineMetabolism,BileAcidBiosynthesis,BileAcidRecycling,BiopterinMetabolism,BiotinMetabolism,ButanoateMetabolism,CarnitineShuttle_cytosolic_,CarnitineShuttle_endoplasmicReticular_,CarnitineShuttle_mitochondrial_,CarnitineShuttle_peroxisomal_,CholesterolBiosynthesis1_BlochPathway_,CholesterolBiosynthesis3_Kandustch_RussellPathway_,CholesterolMetabolism,CysteineAndMethionineMetabolism,DrugMetabolism,EicosanoidMetabolism,EstrogenMetabolism,EtherLipidMetabolism,FattyAcidActivation_cytosolic_,FattyAcidActivation_endoplasmicReticular_,FattyAcidBiosynthesis,FattyAcidBiosynthesis_even_chain_,FattyAcidBiosynthesis_odd_chain_,FattyAcidBiosynthesis_unsaturated_,FattyAcidDesaturation_even_chain_,FattyAcidElongation_even_chain_,FattyAcidElongation_odd_chain_,FattyAcidOxidation,FolateMetabolism,FormationAndHydrolysisOfCholesterolEsters,FructoseAndMannoseMetabolism,GalactoseMetabolism,GlutathioneMetabolism,GlycerolipidMetabolism,GlycerophospholipidMetabolism,Glycine_SerineAndThreonineMetabolism,Glycolysis_Gluconeogenesis,GlycosphingolipidBiosynthesis_ganglioSeries,GlycosphingolipidBiosynthesis_globoSeries,GlycosphingolipidMetabolism,HistidineMetabolism,InositolPhosphateMetabolism,Isolated,LeukotrieneMetabolism,LysineMetabolism,Miscellaneous,NicotinateAndNicotinamideMetabolism,NucleotideMetabolism,Omega_3FattyAcidMetabolism,Omega_6FattyAcidMetabolism,OxidativePhosphorylation,PantothenateAndCoABiosynthesis,PentoseAndGlucuronateInterconversions,PentosePhosphatePathway,Phenylalanine_TyrosineAndTryptophanBiosynthesis,PhosphatidylinositolPhosphateMetabolism,PoolReactions,PorphyrinMetabolism,PropanoateMetabolism,ProstaglandinBiosynthesis,PurineMetabolism,PyrimidineMetabolism,PyruvateMetabolism,RetinolMetabolism,SerotoninAndMelatoninBiosynthesis,SphingolipidMetabolism,StarchAndSucroseMetabolism,SteroidMetabolism,TricarboxylicAcidCycleAndGlyoxylate_dicarboxylateMetabolism,TryptophanMetabolism,TyrosineMetabolism,Valine_Leucine_AndIsoleucineMetabolism,VitaminB6Metabolism
-0.376704374066417,-0.589142561891871,-0.575661017222206,-0.672690138076194,-0.336238882746883,-0.610513695004345,2.87937776724948,-0.34598183087863,-0.406431287370917,-0.177178123931087,1.62901452689383,0.346475464901926,-0.706916890592194,-0.336238882746882,-0.710050183508064,3.34157288134071,-0.375452741659119,-0.548080191111474,-0.336238882746883,-0.369718463823282,-0.501587298764539,1.42065983926707,0.537170533141512,1.76897953402307,0.394126619432662,-0.539230938003241,6.8231664829894,9.86468135769366,-0.190468092777285,-0.484231183985131,-0.347930826483626,-0.716124290594317,-0.336238882746883,-0.341019539073133,-0.438875826927308,-0.392952873807876,1.27541828447695,0.185223131226575,0.162847036905996,2.5862735010387,-0.639861726055441,0.610824776017129,1.2474527897715,0.330890725063601,-0.558252884976276,-0.378670944496096,-0.336238882746883,-0.565274296697673,-0.423198169819807,-0.554684617136419,-0.783338371835405,-0.623231994652644,-0.6091127216114,-0.336238882746883,-0.336238882746883,-0.336238882746883,-0.47313004641042,-0.484254079620735,-0.477537766482656,-0.338869773995138,-0.534984998891095,-0.562550331564925,-0.637855178951092,-0.50957910940809,-0.332428525300654,-0.798759606624299,-0.515952851753257,-0.336238882746883,-0.336238882746883,-0.660908969756194,-0.416379757500076,-0.632257909369278,1.20758457221862,3.99297853124962,-0.698404783099625,-0.575875553449897,-0.752239007527533,-0.650123961040178,-0.373392799931225,-0.503104803618545,-0.336238882746882,-0.112726698309396,-0.38308067126313,-0.473130046410421,-0.633761222361976,-0.339805281145378,-0.546485464928249,-0.495233354565425,-0.358799807181035
-0.376704374066417,-0.589142561891871,-0.575661017222206,-0.672690138076194,-0.336238882746883,-0.610513695004345,-0.345525332069938,-0.34598183087863,-0.406431287370917,-0.177178123931087,1.62901452689383,0.346475464901926,-0.706916890592194,-0.336238882746882,-0.710050183508064,4.0991764495799,-0.375452741659119,-0.548080191111474,-0.336238882746883,-0.369718463823282,-0.501587298764539,-0.375787441354515,0.292320708732823,-0.622192801621906,0.394126619432662,-0.539230938003241,6.8231664829894,9.24057627502486,-0.190468092777285,-0.484231183985131,-0.347930826483626,-0.716124290594317,-0.336238882746883,-0.341019539073133,-0.438875826927308,-0.392952873807876,1.27541828447695,0.185223131226575,0.162847036905996,3.13133759373072,-0.117307983110164,0.610824776017129,1.2474527897715,0.261675589404619,-0.558252884976276,-0.378670944496096,-0.336238882746883,-0.565274296697673,-0.423198169819807,-0.554684617136419,-0.783338371835405,-0.623231994652644,-0.6091127216114,-0.336238882746883,-0.336238882746883,-0.336238882746883,-0.47313004641042,-0.484254079620735,-0.477537766482656,-0.338869773995138,-0.534984998891095,-0.562550331564925,-0.637855178951092,-0.50957910940809,-0.332428525300654,-0.798759606624299,-0.515952851753257,-0.336238882746883,-0.336238882746883,-0.660908969756194,-0.416379757500076,-0.632257909369278,1.20758457221862,3.99297853124962,-0.698404783099625,-0.575875553449897,-0.752239007527533,-0.650123961040178,-0.373392799931225,-0.503104803618545,-0.336238882746882,-0.112726698309396,-0.38308067126313,-0.473130046410421,-0.633761222361976,-0.339805281145378,-0.546485464928249,-0.495233354565425,-0.358799807181035
-0.376704374066417,-0.589142561891871,-0.575661017222206,-0.672690138076194,-0.336238882746883,-0.610513695004345,-0.345525332069938,-0.34598183087863,-0.406431287370917,-0.177178123931087,1.62901452689383,0.346475464901926,-0.706916890592194,2.95890216817256,-0.710050183508064,4.2254437109531,-0.375452741659119,-0.548080191111474,-0.336238882746883,-0.369718463823282,-0.501587298764539,-0.375787441354515,0.537170533141512,-0.622192801621906,0.394126619432662,-0.539230938003241,6.8231664829894,2.99952544833681,-0.190468092777285,-0.484231183985131,-0.347930826483626,-0.716124290594317,-0.336238882746883,-0.341019539073133,-0.438875826927308,-0.392952873807876,1.27541828447695,0.185223131226575,0.162847036905996,3.13133759373072,-0.117307983110164,0.610824776017129,1.2474527897715,0.261675589404619,-0.558252884976276,-0.378670944496096,-0.336238882746883,-0.565274296697673,-0.423198169819807,-0.554684617136419,-0.783338371835405,-0.623231994652644,-0.6091127216114,-0.336238882746883,-0.336238882746883,-0.336238882746883,-0.47313004641042,-0.484254079620735,-0.477537766482656,-0.338869773995138,-0.534984998891095,-0.562550331564925,-0.637855178951092,-0.50957910940809,-0.332428525300654,-0.798759606624299,-0.515952851753257,-0.336238882746883,-0.336238882746883,-0.660908969756194,-0.416379757500076,-0.632257909369278,1.20758457221862,3.99297853124962,-0.698404783099625,-0.575875553449897,-0.752239007527533,-0.650123961040178,-0.373392799931225,-0.503104803618545,-0.336238882746882,-0.112726698309396,-0.38308067126313,-0.473130046410421,-0.633761222361976,-0.339805281145378,-0.546485464928249,-0.495233354565425,-0.358799807181035
-0.376704374066417,-0.589142561891871,-0.575661017222206,-0.672690138076194,-0.336238882746883,-0.610513695004345,-0.345525332069938,-0.34598183087863,-0.406431287370917,0.550087054927408,1.62901452689383,0.346475464901926,-0.706916890592194,2.95890216817256,-0.710050183508064,4.2254437109531,-0.375452741659119,-0.548080191111474,-0.336238882746883,-0.369718463823282,-0.501587298764539,-0.375787441354515,0.537170533141512,-0.622192801621906,0.878445223876559,-0.539230938003241,5.27924980016104,0.503105117661588,0.152024991482787,-0.484231183985131,-0.347930826483626,-0.716124290594317,-0.336238882746883,-0.341019539073133,-0.438875826927308,-0.392952873807876,1.27541828447695,0.185223131226575,0.162847036905996,3.13133759373072,-0.117307983110164,0.610824776017129,1.2474527897715,0.261675589404619,-0.558252884976276,-0.378670944496096,-0.336238882746883,-0.565274296697673,-0.423198169819807,-0.554684617136419,-0.783338371835405,-0.623231994652644,-0.6091127216114,-0.336238882746883,-0.336238882746883,-0.336238882746883,-0.47313004641042,-0.484254079620735,-0.477537766482656,-0.338869773995138,-0.534984998891095,-0.562550331564925,-0.637855178951092,-0.50957910940809,-0.332428525300654,-0.798759606624299,-0.515952851753257,-0.336238882746883,-0.336238882746883,-0.660908969756194,-0.416379757500076,-0.632257909369278,1.20758457221862,3.99297853124962,-0.698404783099625,-0.575875553449897,-0.752239007527533,-0.650123961040178,-0.373392799931225,-0.503104803618545,-0.336238882746882,-0.112726698309396,-0.38308067126313,-0.473130046410421,-0.633761222361976,-0.339805281145378,-0.546485464928249,-0.495233354565425,-0.358799807181035
-0.376704374066417,-0.589142561891871,-0.575661017222206,-0.672690138076194,-0.336238882746883,-0.610513695004345,-0.345525332069938,-0.34598183087863,-0.406431287370917,0.550087054927408,1.62901452689383,0.346475464901926,-0.706916890592194,2.95890216817256,-0.710050183508064,4.2254437109531,-0.375452741659119,-0.548080191111474,-0.336238882746883,-0.369718463823282,-0.501587298764539,-0.375787441354515,0.537170533141512,-0.622192801621906,0.878445223876559,-0.539230938003241,2.50019977107,0.503105117661588,0.49451807574286,-0.484231183985131,-0.347930826483626,-0.716124290594317,-0.336238882746883,-0.341019539073133,-0.438875826927308,-0.392952873807876,1.58907196547756,0.680274045595784,0.765073814897983,3.13133759373072,-0.117307983110164,0.610824776017129,1.2474527897715,0.330890725063601,-0.558252884976276,-0.378670944496096,-0.336238882746883,-0.565274296697673,-0.423198169819807,-0.554684617136419,-0.783338371835405,-0.623231994652644,-0.6091127216114,-0.336238882746883,-0.336238882746883,-0.336238882746883,-0.47313004641042,-0.484254079620735,-0.477537766482656,-0.338869773995138,-0.534984998891095,-0.562550331564925,-0.637855178951092,-0.50957910940809,-0.332428525300654,-0.798759606624299,-0.515952851753257,-0.336238882746883,-0.336238882746883,-0.660908969756194,-0.416379757500076,-0.632257909369278,1.20758457221862,3.99297853124962,-0.698404783099625,-0.575875553449897,-0.752239007527533,-0.650123961040178,-0.373392799931225,-0.503104803618545,-0.336238882746882,-0.112726698309396,-0.38308067126313,-0.473130046410421,-0.633761222361976,-0.339805281145378,-0.546485464928249,-0.495233354565425,-0.358799807181035
-0.376704374066417,-0.589142561891871,-0.575661017222206,-0.672690138076194,-0.336238882746883,-0.610513695004345,-0.345525332069938,-0.34598183087863,-0.406431287370917,0.550087054927408,1.62901452689383,0.979661396097985,-0.706916890592194,2.95890216817256,-0.710050183508064,4.2254437109531,-0.375452741659119,-0.548080191111474,-0.336238882746883,-0.369718463823282,-0.501587298764539,-0.375787441354515,0.782020357550201,-0.622192801621906,0.999524874987534,-0.539230938003241,0.956283088241645,-0.120999965007217,0.152024991482787,-0.484231183985131,-0.347930826483626,-0.716124290594317,-0.336238882746883,-0.341019539073133,-0.438875826927308,-0.392952873807876,1.90272564647816,0.680274045595784,0.765073814897983,3.13133759373072,-0.117307983110164,0.610824776017129,1.2474527897715,0.538536132040546,-0.558252884976276,-0.378670944496096,-0.336238882746883,-0.565274296697673,-0.423198169819807,-0.554684617136419,-0.783338371835405,-0.623231994652644,-0.6091127216114,-0.336238882746883,-0.336238882746883,-0.336238882746883,-0.47313004641042,-0.484254079620735,-0.477537766482656,-0.338869773995138,-0.534984998891095,-0.562550331564925,-0.637855178951092,-0.50957910940809,-0.332428525300654,-0.798759606624299,-0.515952851753257,-0.336238882746883,-0.336238882746883,-0.660908969756194,-0.416379757500076,-0.632257909369278,1.20758457221862,3.99297853124962,-0.698404783099625,-0.575875553449897,-0.752239007527533,-0.650123961040178,-0.373392799931225,-0.503104803618545,-0.336238882746882,-0.112726698309396,-0.38308067126313,-0.473130046410421,-0.633761222361976,-0.339805281145378,-0.546485464928249,-0.495233354565425,-0.358799807181035
-0.376704374066417,-0.589142561891871,-0.575661017222206,-0.672690138076194,-0.336238882746883,-0.610513695004345,-0.345525332069938,-0.34598183087863,-0.406431287370917,0.550087054927408,1.4451994162023,0.979661396097985,-0.706916890592194,2.95890216817256,-0.710050183508064,4.2254437109531,-0.375452741659119,-0.548080191111474,-0.336238882746883,-0.369718463823282,-0.501587298764539,-0.375787441354515,0.782020357550201,-0.622192801621906,0.999524874987534,-0.539230938003241,0.0299330785446314,-0.120999965007217,0.152024991482787,-0.484231183985131,-0.347930826483626,-0.716124290594317,-0.336238882746883,-0.341019539073133,-0.438875826927308,-0.392952873807876,2.53003300847937,0.680274045595784,0.765073814897983,3.13133759373072,0.405245759835112,0.610824776017129,0.0229081480592429,1.02304208165342,-0.558252884976276,-0.378670944496096,-0.336238882746883,-0.565274296697673,-0.423198169819807,-0.554684617136419,-0.783338371835405,-0.623231994652644,-0.6091127216114,-0.336238882746883,-0.336238882746883,-0.336238882746883,-0.47313004641042,-0.484254079620735,-0.477537766482656,-0.338869773995138,-0.534984998891095,-0.562550331564925,-0.637855178951092,-0.50957910940809,-0.739653468793955,-0.798759606624299,-0.515952851753257,-0.336238882746883,-0.336238882746883,-0.660908969756194,-0.416379757500076,-0.632257909369278,1.20758457221862,3.99297853124962,-0.698404783099625,-0.575875553449897,-0.752239007527533,-0.650123961040178,-0.373392799931225,-0.503104803618545,-0.336238882746882,-0.112726698309396,-0.38308067126313,-0.473130046410421,-0.633761222361976,-0.339805281145378,-0.546485464928249,-0.495233354565425,-0.358799807181035
-0.376704374066417,-0.589142561891871,-0.575661017222206,-0.672690138076194,-0.336238882746883,-0.610513695004345,-0.345525332069938,-0.34598183087863,-0.406431287370917,0.550087054927408,2.18045985896843,0.979661396097985,-0.706916890592194,2.95890216817256,-0.710050183508064,3.72037466546031,-0.375452741659119,-0.548080191111474,-0.336238882746883,-0.369718463823282,-0.501587298764539,-0.375787441354515,1.02687018195889,-0.622192801621906,1.12060452609851,-0.539230938003241,0.0299330785446314,-0.120999965007217,0.152024991482787,-0.484231183985131,-0.347930826483626,-0.716124290594317,-0.336238882746883,-0.341019539073133,-0.438875826927308,-0.392952873807876,2.53003300847937,0.680274045595784,0.765073814897983,2.40458547014136,0.405245759835112,0.610824776017129,-0.385273399178176,1.29990262428934,-0.558252884976276,-0.378670944496096,-0.336238882746883,-0.565274296697673,-0.423198169819807,-0.554684617136419,-0.783338371835405,-0.623231994652644,-0.6091127216114,-0.336238882746883,-0.336238882746883,-0.336238882746883,-0.47313004641042,-0.484254079620735,-0.477537766482656,-0.338869773995138,-0.534984998891095,-0.562550331564925,-0.637855178951092,-0.50957910940809,-0.739653468793955,-0.798759606624299,-0.515952851753257,-0.336238882746883,-0.336238882746883,-0.660908969756194,-0.416379757500076,-0.632257909369278,1.20758457221862,3.99297853124962,-0.698404783099625,-0.575875553449897,-0.752239007527533,-0.650123961040178,-0.373392799931225,-0.503104803618545,-0.336238882746882,-0.378924684678572,-0.38308067126313,-0.473130046410421,-0.633761222361976,-0.339805281145378,-0.546485464928249,-0.495233354565425,-0.358799807181035
-0.376704374066417,-0.589142561891871,-0.575661017222206,-0.672690138076194,-0.336238882746883,-0.610513695004345,-0.345525332069938,-0.34598183087863,-0.406431287370917,0.550087054927408,1.62901452689383,0.979661396097985,-0.706916890592194,2.95890216817256,-0.710050183508064,3.72037466546031,-0.375452741659119,-0.548080191111474,-0.336238882746883,-0.369718463823282,-0.501587298764539,-0.375787441354515,1.02687018195889,-0.622192801621906,1.12060452609851,-0.539230938003241,0.0299330785446314,-0.120999965007217,0.152024991482787,-0.484231183985131,-0.347930826483626,-0.716124290594317,-0.336238882746883,-0.341019539073133,-0.438875826927308,-0.392952873807876,1.27541828447695,0.680274045595784,0.765073814897983,2.40458547014136,0.405245759835112,0.610824776017129,-0.385273399178176,1.64597830258425,-0.558252884976276,-0.378670944496096,-0.336238882746883,-0.565274296697673,-0.423198169819807,-0.554684617136419,-0.783338371835405,-0.623231994652644,-0.6091127216114,-0.336238882746883,-0.336238882746883,-0.336238882746883,-0.47313004641042,-0.484254079620735,-0.477537766482656,-0.338869773995138,-0.534984998891095,-0.562550331564925,-0.637855178951092,-0.50957910940809,-0.739653468793955,-0.798759606624299,-0.515952851753257,-0.336238882746883,-0.336238882746883,-0.660908969756194,-0.416379757500076,-0.632257909369278,-0.391649050449284,3.99297853124962,-0.698404783099625,-0.575875553449897,-0.752239007527533,-0.650123961040178,-0.373392799931225,-0.503104803618545,-0.336238882746882,0.15347128805978,0.0340516152233893,-0.473130046410421,-0.633761222361976,-0.339805281145378,-0.546485464928249,-0.495233354565425,-0.358799807181035
-0.376704374066417,-0.589142561891871,-0.575661017222206,-0.672690138076194,-0.336238882746883,-0.610513695004345,-0.345525332069938,-0.34598183087863,-0.406431287370917,0.550087054927408,-0.0253214693299559,0.979661396097985,-0.706916890592194,2.95890216817256,-0.710050183508064,3.72037466546031,-0.375452741659119,-0.548080191111474,-0.336238882746883,-0.369718463823282,-0.501587298764539,-0.375787441354515,1.76141965518496,-0.622192801621906,1.12060452609851,-0.539230938003241,0.0299330785446314,-0.120999965007217,0.152024991482787,-0.484231183985131,-0.347930826483626,-0.716124290594317,-0.336238882746883,-0.341019539073133,-0.438875826927308,-0.392952873807876,1.27541828447695,0.680274045595784,0.765073814897983,2.40458547014136,0.405245759835112,0.610824776017129,-0.385273399178176,1.57676316692527,-0.558252884976276,-0.378670944496096,-0.336238882746883,-0.565274296697673,-0.423198169819807,-0.554684617136419,-0.783338371835405,-0.623231994652644,-0.6091127216114,-0.336238882746883,-0.336238882746883,-0.336238882746883,-0.47313004641042,-0.484254079620735,-0.477537766482656,-0.338869773995138,-0.534984998891095,-0.562550331564925,-0.637855178951092,-0.50957910940809,-0.739653468793955,-0.798759606624299,-0.515952851753257,-0.336238882746883,-0.336238882746883,-0.660908969756194,-0.416379757500076,-0.632257909369278,-0.391649050449284,3.99297853124962,-0.698404783099625,-0.575875553449897,-0.752239007527533,-0.650123961040178,-0.373392799931225,-0.503104803618545,-0.336238882746882,0.15347128805978,2.95397762062902,-0.473130046410421,-0.633761222361976,-0.339805281145378,-0.546485464928249,-0.495233354565425,-0.358799807181035
