sample,ratio,condition,amino_acid,batch,ratio_sample_is,ratio_adj,concentration_sample_uM,cell_line,dox_conc,timepoint,replicate
M0,6.68E-01,3.71,Asn,1,0.05,1.34E+01,49.59528,,,,
M0,7.04E-01,3.71,Asn,1,0.05,1.41E+01,52.24422,,,,
1,7.50E-01,3.71,Asn,1,0.05,1.50E+01,55.62032,TM,0,16,1
2,6.40E-01,3.71,Asn,1,0.05,1.28E+01,47.488,TM,100,16,1
3,5.89E-01,3.71,Asn,1,0.05,1.18E+01,43.68896,TM,1000,16,1
4,6.50E-01,3.71,Asn,1,0.05,1.30E+01,48.23742,TM,0,18,1
5,5.26E-01,3.71,Asn,1,0.05,1.05E+01,39.02178,TM,100,18,1
6,5.04E-01,3.71,Asn,1,0.05,1.01E+01,37.38196,TM,1000,18,1
7,5.68E-01,3.71,Asn,1,0.05,1.14E+01,42.13818,TM,0,20,1
8,5.54E-01,3.71,Asn,1,0.05,1.11E+01,41.12164,TM,100,20,1
9,4.52E-01,3.71,Asn,1,0.05,9.04E+00,33.52356,TM,1000,20,1
10,5.39E-01,3.71,Asn,1,0.05,1.08E+01,39.9567,TM,0,22,1
11,5.79E-01,3.71,Asn,1,0.05,1.16E+01,42.97664,TM,100,22,1
12,4.87E-01,3.71,Asn,1,0.05,9.74E+00,36.12056,TM,1000,22,1
13,5.21E-01,3.71,Asn,1,0.05,1.04E+01,38.68788,TM,0,24,1
14,4.87E-01,3.71,Asn,1,0.05,9.73E+00,36.11314,TM,100,24,1
15,5.08E-01,3.71,Asn,1,0.05,1.02E+01,37.71586,TM,1000,24,1
16,4.77E-01,3.71,Asn,1,0.05,9.53E+00,35.3563,T,0,16,1
17,5.26E-01,3.71,Asn,1,0.05,1.05E+01,39.05146,T,100,16,1
18,5.02E-01,3.71,Asn,1,0.05,1.00E+01,37.2484,T,1000,16,1
19,4.90E-01,3.71,Asn,1,0.05,9.80E+00,36.36542,T,0,18,1
20,4.18E-01,3.71,Asn,1,0.05,8.36E+00,31.0156,T,100,18,1
21,6.07E-01,3.71,Asn,1,0.05,1.21E+01,45.05424,T,1000,18,1
22,5.22E-01,3.71,Asn,1,0.05,1.04E+01,38.72498,T,0,20,1
23,5.17E-01,3.71,Asn,1,0.05,1.03E+01,38.33172,T,100,20,1
24,6.07E-01,3.71,Asn,1,0.05,1.21E+01,45.01714,T,1000,20,1
25,4.56E-01,3.71,Asn,1,0.05,9.12E+00,33.82036,T,0,22,1
26,4.79E-01,3.71,Asn,1,0.05,9.57E+00,35.51954,T,100,22,1
27,4.00E-01,3.71,Asn,1,0.05,8.00E+00,29.68,T,1000,22,1
28,4.48E-01,3.71,Asn,1,0.05,8.96E+00,33.22676,T,0,24,1
29,5.25E-01,3.71,Asn,1,0.05,1.05E+01,38.96984,T,100,24,1
30,4.84E-01,3.71,Asn,1,0.05,9.69E+00,35.94248,T,1000,24,1
M0,2.67E+00,4.4,Ser,1,0.05,5.34E+01,235.136,,,,
M0,2.76E+00,4.4,Ser,1,0.05,5.52E+01,243.056,,,,
1,1.99E+00,4.4,Ser,1,0.05,3.98E+01,175.12,TM,0,16,1
2,2.31E+00,4.4,Ser,1,0.05,4.62E+01,203.456,TM,100,16,1
3,2.20E+00,4.4,Ser,1,0.05,4.40E+01,193.6,TM,1000,16,1
4,2.17E+00,4.4,Ser,1,0.05,4.35E+01,191.224,TM,0,18,1
5,2.09E+00,4.4,Ser,1,0.05,4.17E+01,183.48,TM,100,18,1
6,2.26E+00,4.4,Ser,1,0.05,4.52E+01,198.88,TM,1000,18,1
7,2.30E+00,4.4,Ser,1,0.05,4.59E+01,201.96,TM,0,20,1
8,2.06E+00,4.4,Ser,1,0.05,4.11E+01,181.016,TM,100,20,1
9,2.04E+00,4.4,Ser,1,0.05,4.07E+01,179.08,TM,1000,20,1
10,1.97E+00,4.4,Ser,1,0.05,3.94E+01,173.36,TM,0,22,1
11,2.11E+00,4.4,Ser,1,0.05,4.23E+01,186.032,TM,100,22,1
12,1.97E+00,4.4,Ser,1,0.05,3.95E+01,173.712,TM,1000,22,1
13,2.12E+00,4.4,Ser,1,0.05,4.24E+01,186.384,TM,0,24,1
14,1.95E+00,4.4,Ser,1,0.05,3.90E+01,171.424,TM,100,24,1
15,1.99E+00,4.4,Ser,1,0.05,3.97E+01,174.68,TM,1000,24,1
16,1.77E+00,4.4,Ser,1,0.05,3.53E+01,155.496,T,0,16,1
17,2.03E+00,4.4,Ser,1,0.05,4.07E+01,178.992,T,100,16,1
18,2.28E+00,4.4,Ser,1,0.05,4.55E+01,200.2,T,1000,16,1
19,1.85E+00,4.4,Ser,1,0.05,3.70E+01,162.8,T,0,18,1
20,2.05E+00,4.4,Ser,1,0.05,4.10E+01,180.488,T,100,18,1
21,1.95E+00,4.4,Ser,1,0.05,3.91E+01,171.952,T,1000,18,1
22,1.81E+00,4.4,Ser,1,0.05,3.61E+01,158.928,T,0,20,1
23,1.68E+00,4.4,Ser,1,0.05,3.36E+01,147.928,T,100,20,1
24,1.89E+00,4.4,Ser,1,0.05,3.77E+01,165.968,T,1000,20,1
25,1.58E+00,4.4,Ser,1,0.05,3.15E+01,138.688,T,0,22,1
26,1.51E+00,4.4,Ser,1,0.05,3.02E+01,132.792,T,100,22,1
27,1.62E+00,4.4,Ser,1,0.05,3.23E+01,142.12,T,1000,22,1
28,1.46E+00,4.4,Ser,1,0.05,2.91E+01,128.216,T,0,24,1
29,1.51E+00,4.4,Ser,1,0.05,3.01E+01,132.528,T,100,24,1
30,1.56E+00,4.4,Ser,1,0.05,3.13E+01,137.544,T,1000,24,1
M0,3.01E+00,3.62,Gly,1,0.05,6.02E+01,218.0688,,,,
M0,3.35E+00,3.62,Gly,1,0.05,6.69E+01,242.178,,,,
1,4.13E+00,3.62,Gly,1,0.05,8.25E+01,298.7224,TM,0,16,1
2,2.92E+00,3.62,Gly,1,0.05,5.84E+01,211.3356,TM,100,16,1
3,3.15E+00,3.62,Gly,1,0.05,6.30E+01,227.9876,TM,1000,16,1
4,3.21E+00,3.62,Gly,1,0.05,6.42E+01,232.2592,TM,0,18,1
5,3.52E+00,3.62,Gly,1,0.05,7.03E+01,254.5584,TM,100,18,1
6,3.42E+00,3.62,Gly,1,0.05,6.84E+01,247.4632,TM,1000,18,1
7,3.28E+00,3.62,Gly,1,0.05,6.57E+01,237.6892,TM,0,20,1
8,3.75E+00,3.62,Gly,1,0.05,7.49E+01,271.2104,TM,100,20,1
9,3.32E+00,3.62,Gly,1,0.05,6.63E+01,240.1508,TM,1000,20,1
10,3.39E+00,3.62,Gly,1,0.05,6.79E+01,245.7256,TM,0,22,1
11,3.24E+00,3.62,Gly,1,0.05,6.49E+01,234.8656,TM,100,22,1
12,3.38E+00,3.62,Gly,1,0.05,6.76E+01,244.6396,TM,1000,22,1
13,3.34E+00,3.62,Gly,1,0.05,6.67E+01,241.454,TM,0,24,1
14,3.02E+00,3.62,Gly,1,0.05,6.05E+01,218.8652,TM,100,24,1
15,3.57E+00,3.62,Gly,1,0.05,7.15E+01,258.6852,TM,1000,24,1
16,3.06E+00,3.62,Gly,1,0.05,6.12E+01,221.4716,T,0,16,1
17,3.38E+00,3.62,Gly,1,0.05,6.76E+01,244.6396,T,100,16,1
18,3.52E+00,3.62,Gly,1,0.05,7.04E+01,254.9928,T,1000,16,1
19,3.21E+00,3.62,Gly,1,0.05,6.43E+01,232.6212,T,0,18,1
20,3.56E+00,3.62,Gly,1,0.05,7.12E+01,257.6716,T,100,18,1
21,3.39E+00,3.62,Gly,1,0.05,6.77E+01,245.074,T,1000,18,1
22,2.87E+00,3.62,Gly,1,0.05,5.75E+01,208.0052,T,0,20,1
23,3.11E+00,3.62,Gly,1,0.05,6.23E+01,225.3812,T,100,20,1
24,3.62E+00,3.62,Gly,1,0.05,7.25E+01,262.3052,T,1000,20,1
25,2.78E+00,3.62,Gly,1,0.05,5.56E+01,201.3444,T,0,22,1
26,3.08E+00,3.62,Gly,1,0.05,6.17E+01,223.2816,T,100,22,1
27,3.77E+00,3.62,Gly,1,0.05,7.55E+01,273.1652,T,1000,22,1
28,3.41E+00,3.62,Gly,1,0.05,6.81E+01,246.6668,T,0,24,1
29,3.31E+00,3.62,Gly,1,0.05,6.61E+01,239.4268,T,100,24,1
30,3.14E+00,3.62,Gly,1,0.05,6.28E+01,227.336,T,1000,24,1
M0,2.50E+01,4.09,Gln,1,0.05,5.00E+02,2045,,,,
M0,2.56E+01,4.09,Gln,1,0.05,5.13E+02,2096.534,,,,
1,2.34E+01,4.09,Gln,1,0.05,4.68E+02,1915.756,TM,0,16,1
2,2.29E+01,4.09,Gln,1,0.05,4.58E+02,1872.402,TM,100,16,1
3,2.47E+01,4.09,Gln,1,0.05,4.95E+02,2023.732,TM,1000,16,1
4,2.11E+01,4.09,Gln,1,0.05,4.23E+02,1729.252,TM,0,18,1
5,2.21E+01,4.09,Gln,1,0.05,4.42E+02,1807.78,TM,100,18,1
6,2.21E+01,4.09,Gln,1,0.05,4.41E+02,1804.508,TM,1000,18,1
7,2.31E+01,4.09,Gln,1,0.05,4.62E+02,1890.398,TM,0,20,1
8,2.39E+01,4.09,Gln,1,0.05,4.79E+02,1957.474,TM,100,20,1
9,2.17E+01,4.09,Gln,1,0.05,4.34E+02,1775.06,TM,1000,20,1
10,2.10E+01,4.09,Gln,1,0.05,4.19E+02,1714.528,TM,0,22,1
11,2.11E+01,4.09,Gln,1,0.05,4.21E+02,1722.708,TM,100,22,1
12,1.88E+01,4.09,Gln,1,0.05,3.75E+02,1535.386,TM,1000,22,1
13,2.14E+01,4.09,Gln,1,0.05,4.28E+02,1751.338,TM,0,24,1
14,2.45E+01,4.09,Gln,1,0.05,4.90E+02,2004.918,TM,100,24,1
15,2.27E+01,4.09,Gln,1,0.05,4.54E+02,1856.042,TM,1000,24,1
16,2.06E+01,4.09,Gln,1,0.05,4.12E+02,1683.444,T,0,16,1
17,1.99E+01,4.09,Gln,1,0.05,3.98E+02,1627.82,T,100,16,1
18,2.37E+01,4.09,Gln,1,0.05,4.75E+02,1941.932,T,1000,16,1
19,1.99E+01,4.09,Gln,1,0.05,3.98E+02,1629.456,T,0,18,1
20,2.05E+01,4.09,Gln,1,0.05,4.09E+02,1673.628,T,100,18,1
21,1.98E+01,4.09,Gln,1,0.05,3.96E+02,1618.004,T,1000,18,1
22,2.10E+01,4.09,Gln,1,0.05,4.19E+02,1713.71,T,0,20,1
23,1.69E+01,4.09,Gln,1,0.05,3.37E+02,1379.148,T,100,20,1
24,1.85E+01,4.09,Gln,1,0.05,3.69E+02,1510.846,T,1000,20,1
25,1.81E+01,4.09,Gln,1,0.05,3.61E+02,1476.49,T,0,22,1
26,2.07E+01,4.09,Gln,1,0.05,4.14E+02,1694.078,T,100,22,1
27,2.27E+01,4.09,Gln,1,0.05,4.54E+02,1856.042,T,1000,22,1
28,1.87E+01,4.09,Gln,1,0.05,3.73E+02,1527.206,T,0,24,1
29,1.73E+01,4.09,Gln,1,0.05,3.46E+02,1415.958,T,100,24,1
30,1.96E+01,4.09,Gln,1,0.05,3.91E+02,1600.826,T,1000,24,1
M0,4.54E-01,5.64,Asp,1,0.05,9.07E+00,51.16608,,,,
M0,4.09E-01,5.64,Asp,1,0.05,8.17E+00,46.0788,,,,
1,4.31E-01,5.64,Asp,1,0.05,8.63E+00,48.65064,TM,0,16,1
2,4.14E-01,5.64,Asp,1,0.05,8.28E+00,46.6992,TM,100,16,1
3,3.99E-01,5.64,Asp,1,0.05,7.98E+00,44.98464,TM,1000,16,1
4,4.73E-01,5.64,Asp,1,0.05,9.46E+00,53.34312,TM,0,18,1
5,3.66E-01,5.64,Asp,1,0.05,7.32E+00,41.30736,TM,100,18,1
6,4.03E-01,5.64,Asp,1,0.05,8.05E+00,45.42456,TM,1000,18,1
7,3.81E-01,5.64,Asp,1,0.05,7.61E+00,42.9204,TM,0,20,1
8,4.50E-01,5.64,Asp,1,0.05,9.00E+00,50.76,TM,100,20,1
9,3.31E-01,5.64,Asp,1,0.05,6.62E+00,37.35936,TM,1000,20,1
10,3.75E-01,5.64,Asp,1,0.05,7.49E+00,42.2436,TM,0,22,1
11,4.19E-01,5.64,Asp,1,0.05,8.38E+00,47.24064,TM,100,22,1
12,3.28E-01,5.64,Asp,1,0.05,6.56E+00,36.97584,TM,1000,22,1
13,4.43E-01,5.64,Asp,1,0.05,8.86E+00,49.9704,TM,0,24,1
14,3.24E-01,5.64,Asp,1,0.05,6.47E+00,36.4908,TM,100,24,1
15,3.24E-01,5.64,Asp,1,0.05,6.49E+00,36.58104,TM,1000,24,1
16,3.54E-01,5.64,Asp,1,0.05,7.07E+00,39.89736,T,0,16,1
17,3.72E-01,5.64,Asp,1,0.05,7.44E+00,41.95032,T,100,16,1
18,3.68E-01,5.64,Asp,1,0.05,7.37E+00,41.55552,T,1000,16,1
19,4.40E-01,5.64,Asp,1,0.05,8.80E+00,49.64328,T,0,18,1
20,3.23E-01,5.64,Asp,1,0.05,6.47E+00,36.47952,T,100,18,1
21,3.75E-01,5.64,Asp,1,0.05,7.51E+00,42.34512,T,1000,18,1
22,3.48E-01,5.64,Asp,1,0.05,6.96E+00,39.23184,T,0,20,1
23,3.46E-01,5.64,Asp,1,0.05,6.91E+00,38.98368,T,100,20,1
24,4.30E-01,5.64,Asp,1,0.05,8.60E+00,48.52656,T,1000,20,1
25,3.41E-01,5.64,Asp,1,0.05,6.82E+00,38.45352,T,0,22,1
26,3.27E-01,5.64,Asp,1,0.05,6.55E+00,36.91944,T,100,22,1
27,4.35E-01,5.64,Asp,1,0.05,8.70E+00,49.068,T,1000,22,1
28,3.56E-01,5.64,Asp,1,0.05,7.11E+00,40.12296,T,0,24,1
29,3.85E-01,5.64,Asp,1,0.05,7.69E+00,43.39416,T,100,24,1
30,4.11E-01,5.64,Asp,1,0.05,8.22E+00,46.33824,T,1000,24,1
M0,5.94E-02,4.24,Ala,1,0.05,1.19E+00,5.03712,,,,
M0,6.33E-02,4.24,Ala,1,0.05,1.27E+00,5.365296,,,,
1,1.61E-01,4.24,Ala,1,0.05,3.22E+00,13.63584,TM,0,16,1
2,1.22E-01,4.24,Ala,1,0.05,2.43E+00,10.31168,TM,100,16,1
3,1.43E-01,4.24,Ala,1,0.05,2.85E+00,12.10096,TM,1000,16,1
4,1.26E-01,4.24,Ala,1,0.05,2.51E+00,10.65936,TM,0,18,1
5,1.96E-01,4.24,Ala,1,0.05,3.91E+00,16.58688,TM,100,18,1
6,1.77E-01,4.24,Ala,1,0.05,3.55E+00,15.03504,TM,1000,18,1
7,1.60E-01,4.24,Ala,1,0.05,3.21E+00,13.59344,TM,0,20,1
8,1.80E-01,4.24,Ala,1,0.05,3.61E+00,15.28944,TM,100,20,1
9,1.91E-01,4.24,Ala,1,0.05,3.83E+00,16.23072,TM,1000,20,1
10,1.72E-01,4.24,Ala,1,0.05,3.44E+00,14.59408,TM,0,22,1
11,1.61E-01,4.24,Ala,1,0.05,3.22E+00,13.64432,TM,100,22,1
12,1.60E-01,4.24,Ala,1,0.05,3.19E+00,13.53408,TM,1000,22,1
13,1.73E-01,4.24,Ala,1,0.05,3.46E+00,14.66192,TM,0,24,1
14,2.20E-01,4.24,Ala,1,0.05,4.40E+00,18.63904,TM,100,24,1
15,1.55E-01,4.24,Ala,1,0.05,3.10E+00,13.16096,TM,1000,24,1
16,1.51E-01,4.24,Ala,1,0.05,3.02E+00,12.81328,T,0,16,1
17,1.69E-01,4.24,Ala,1,0.05,3.39E+00,14.35664,T,100,16,1
18,1.64E-01,4.24,Ala,1,0.05,3.28E+00,13.89024,T,1000,16,1
19,1.68E-01,4.24,Ala,1,0.05,3.36E+00,14.25488,T,0,18,1
20,1.53E-01,4.24,Ala,1,0.05,3.07E+00,12.99984,T,100,18,1
21,1.93E-01,4.24,Ala,1,0.05,3.86E+00,16.38336,T,1000,18,1
22,1.89E-01,4.24,Ala,1,0.05,3.78E+00,16.03568,T,0,20,1
23,1.42E-01,4.24,Ala,1,0.05,2.83E+00,12.00768,T,100,20,1
24,1.90E-01,4.24,Ala,1,0.05,3.80E+00,16.09504,T,1000,20,1
25,1.90E-01,4.24,Ala,1,0.05,3.81E+00,16.13744,T,0,22,1
26,2.14E-01,4.24,Ala,1,0.05,4.28E+00,18.1472,T,100,22,1
27,1.98E-01,4.24,Ala,1,0.05,3.95E+00,16.748,T,1000,22,1
28,1.40E-01,4.24,Ala,1,0.05,2.79E+00,11.83808,T,0,24,1
29,1.81E-01,4.24,Ala,1,0.05,3.61E+00,15.32336,T,100,24,1
30,1.58E-01,4.24,Ala,1,0.05,3.17E+00,13.42384,T,1000,24,1
M0,5.39E+00,4.69,Thr,1,0.05,1.08E+02,505.6758,,,,
M0,4.78E+00,4.69,Thr,1,0.05,9.56E+01,448.2702,,,,
1,4.69E+00,4.69,Thr,1,0.05,9.37E+01,439.453,TM,0,16,1
2,4.31E+00,4.69,Thr,1,0.05,8.63E+01,404.6532,TM,100,16,1
3,4.11E+00,4.69,Thr,1,0.05,8.21E+01,385.2366,TM,1000,16,1
4,4.72E+00,4.69,Thr,1,0.05,9.43E+01,442.4546,TM,0,18,1
5,3.77E+00,4.69,Thr,1,0.05,7.54E+01,353.7198,TM,100,18,1
6,4.43E+00,4.69,Thr,1,0.05,8.86E+01,415.6278,TM,1000,18,1
7,4.10E+00,4.69,Thr,1,0.05,8.19E+01,384.2048,TM,0,20,1
8,4.09E+00,4.69,Thr,1,0.05,8.17E+01,383.2668,TM,100,20,1
9,3.90E+00,4.69,Thr,1,0.05,7.81E+01,366.1014,TM,1000,20,1
10,4.65E+00,4.69,Thr,1,0.05,9.30E+01,436.3576,TM,0,22,1
11,4.60E+00,4.69,Thr,1,0.05,9.20E+01,431.3862,TM,100,22,1
12,4.07E+00,4.69,Thr,1,0.05,8.14E+01,381.5784,TM,1000,22,1
13,4.17E+00,4.69,Thr,1,0.05,8.34E+01,391.2398,TM,0,24,1
14,4.49E+00,4.69,Thr,1,0.05,8.98E+01,421.0682,TM,100,24,1
15,4.79E+00,4.69,Thr,1,0.05,9.58E+01,449.3958,TM,1000,24,1
16,3.79E+00,4.69,Thr,1,0.05,7.58E+01,355.3144,T,0,16,1
17,4.35E+00,4.69,Thr,1,0.05,8.70E+01,408.2176,T,100,16,1
18,4.88E+00,4.69,Thr,1,0.05,9.76E+01,457.8378,T,1000,16,1
19,3.97E+00,4.69,Thr,1,0.05,7.94E+01,372.1984,T,0,18,1
20,4.92E+00,4.69,Thr,1,0.05,9.84E+01,461.4022,T,100,18,1
21,4.45E+00,4.69,Thr,1,0.05,8.89E+01,417.0348,T,1000,18,1
22,3.49E+00,4.69,Thr,1,0.05,6.98E+01,327.1744,T,0,20,1
23,3.82E+00,4.69,Thr,1,0.05,7.64E+01,358.4098,T,100,20,1
24,4.36E+00,4.69,Thr,1,0.05,8.73E+01,409.3432,T,1000,20,1
25,3.93E+00,4.69,Thr,1,0.05,7.87E+01,368.9154,T,0,22,1
26,3.84E+00,4.69,Thr,1,0.05,7.69E+01,360.4734,T,100,22,1
27,4.38E+00,4.69,Thr,1,0.05,8.76E+01,410.7502,T,1000,22,1
28,4.19E+00,4.69,Thr,1,0.05,8.38E+01,392.9282,T,0,24,1
29,4.60E+00,4.69,Thr,1,0.05,9.21E+01,431.8552,T,100,24,1
30,4.36E+00,4.69,Thr,1,0.05,8.73E+01,409.2494,T,1000,24,1
M0,2.48E+00,4.49,Glu,1,0.05,4.96E+01,222.6142,,,,
M0,2.03E+00,4.49,Glu,1,0.05,4.05E+01,181.845,,,,
1,3.39E+00,4.49,Glu,1,0.05,6.78E+01,304.3322,TM,0,16,1
2,2.85E+00,4.49,Glu,1,0.05,5.69E+01,255.481,TM,100,16,1
3,3.01E+00,4.49,Glu,1,0.05,6.03E+01,270.6572,TM,1000,16,1
4,3.30E+00,4.49,Glu,1,0.05,6.61E+01,296.6992,TM,0,18,1
5,2.73E+00,4.49,Glu,1,0.05,5.46E+01,245.0642,TM,100,18,1
6,3.25E+00,4.49,Glu,1,0.05,6.49E+01,291.5806,TM,1000,18,1
7,3.26E+00,4.49,Glu,1,0.05,6.51E+01,292.4786,TM,0,20,1
8,3.64E+00,4.49,Glu,1,0.05,7.28E+01,326.872,TM,100,20,1
9,3.15E+00,4.49,Glu,1,0.05,6.30E+01,282.6904,TM,1000,20,1
10,3.25E+00,4.49,Glu,1,0.05,6.51E+01,292.1194,TM,0,22,1
11,3.34E+00,4.49,Glu,1,0.05,6.67E+01,299.5728,TM,100,22,1
12,2.83E+00,4.49,Glu,1,0.05,5.66E+01,254.3136,TM,1000,22,1
13,3.49E+00,4.49,Glu,1,0.05,6.98E+01,313.402,TM,0,24,1
14,3.18E+00,4.49,Glu,1,0.05,6.36E+01,285.564,TM,100,24,1
15,3.17E+00,4.49,Glu,1,0.05,6.34E+01,284.5762,TM,1000,24,1
16,3.35E+00,4.49,Glu,1,0.05,6.70E+01,300.83,T,0,16,1
17,3.50E+00,4.49,Glu,1,0.05,7.00E+01,314.3,T,100,16,1
18,3.15E+00,4.49,Glu,1,0.05,6.29E+01,282.5108,T,1000,16,1
19,3.42E+00,4.49,Glu,1,0.05,6.85E+01,307.3854,T,0,18,1
20,3.95E+00,4.49,Glu,1,0.05,7.90E+01,354.71,T,100,18,1
21,3.53E+00,4.49,Glu,1,0.05,7.07E+01,317.3532,T,1000,18,1
22,3.27E+00,4.49,Glu,1,0.05,6.55E+01,294.0052,T,0,20,1
23,3.51E+00,4.49,Glu,1,0.05,7.02E+01,315.2878,T,100,20,1
24,3.86E+00,4.49,Glu,1,0.05,7.72E+01,346.8076,T,1000,20,1
25,3.45E+00,4.49,Glu,1,0.05,6.90E+01,309.8998,T,0,22,1
26,3.66E+00,4.49,Glu,1,0.05,7.31E+01,328.219,T,100,22,1
27,3.93E+00,4.49,Glu,1,0.05,7.85E+01,352.465,T,1000,22,1
28,3.96E+00,4.49,Glu,1,0.05,7.91E+01,355.159,T,0,24,1
29,4.03E+00,4.49,Glu,1,0.05,8.05E+01,361.5348,T,100,24,1
30,3.77E+00,4.49,Glu,1,0.05,7.54E+01,338.7256,T,1000,24,1
M0,1.50E+00,3.66,His,1,0.05,3.01E+01,110.0928,,,,
M0,1.24E+00,3.66,His,1,0.05,2.47E+01,90.4752,,,,
1,1.66E+00,3.66,His,1,0.05,3.33E+01,121.8048,TM,0,16,1
2,1.56E+00,3.66,His,1,0.05,3.12E+01,114.3384,TM,100,16,1
3,1.38E+00,3.66,His,1,0.05,2.76E+01,100.9428,TM,1000,16,1
4,1.31E+00,3.66,His,1,0.05,2.62E+01,95.892,TM,0,18,1
5,1.31E+00,3.66,His,1,0.05,2.62E+01,95.8188,TM,100,18,1
6,1.36E+00,3.66,His,1,0.05,2.72E+01,99.552,TM,1000,18,1
7,1.53E+00,3.66,His,1,0.05,3.07E+01,112.2888,TM,0,20,1
8,1.34E+00,3.66,His,1,0.05,2.69E+01,98.3808,TM,100,20,1
9,1.27E+00,3.66,His,1,0.05,2.53E+01,92.6712,TM,1000,20,1
10,1.70E+00,3.66,His,1,0.05,3.40E+01,124.44,TM,0,22,1
11,1.28E+00,3.66,His,1,0.05,2.56E+01,93.7692,TM,100,22,1
12,1.25E+00,3.66,His,1,0.05,2.51E+01,91.7928,TM,1000,22,1
13,1.41E+00,3.66,His,1,0.05,2.82E+01,103.212,TM,0,24,1
14,1.21E+00,3.66,His,1,0.05,2.42E+01,88.4256,TM,100,24,1
15,1.43E+00,3.66,His,1,0.05,2.85E+01,104.3832,TM,1000,24,1
16,1.39E+00,3.66,His,1,0.05,2.78E+01,101.748,T,0,16,1
17,1.28E+00,3.66,His,1,0.05,2.56E+01,93.7692,T,100,16,1
18,1.29E+00,3.66,His,1,0.05,2.58E+01,94.5744,T,1000,16,1
19,1.48E+00,3.66,His,1,0.05,2.95E+01,108.0432,T,0,18,1
20,1.38E+00,3.66,His,1,0.05,2.76E+01,100.9428,T,100,18,1
21,1.36E+00,3.66,His,1,0.05,2.71E+01,99.2592,T,1000,18,1
22,1.42E+00,3.66,His,1,0.05,2.85E+01,104.2368,T,0,20,1
23,1.35E+00,3.66,His,1,0.05,2.70E+01,98.7468,T,100,20,1
24,1.48E+00,3.66,His,1,0.05,2.96E+01,108.4092,T,1000,20,1
25,1.21E+00,3.66,His,1,0.05,2.41E+01,88.2792,T,0,22,1
26,1.38E+00,3.66,His,1,0.05,2.75E+01,100.65,T,100,22,1
27,1.11E+00,3.66,His,1,0.05,2.22E+01,81.1056,T,1000,22,1
28,1.44E+00,3.66,His,1,0.05,2.88E+01,105.3348,T,0,24,1
29,1.31E+00,3.66,His,1,0.05,2.61E+01,95.6724,T,100,24,1
30,1.42E+00,3.66,His,1,0.05,2.83E+01,103.6512,T,1000,24,1
M0,1.50E+00,4.54,Pro,1,0.05,3.00E+01,136.0184,,,,
M0,1.42E+00,4.54,Pro,1,0.05,2.85E+01,129.2992,,,,
1,1.40E+00,4.54,Pro,1,0.05,2.81E+01,127.4832,TM,0,16,1
2,1.45E+00,4.54,Pro,1,0.05,2.91E+01,132.0232,TM,100,16,1
3,1.49E+00,4.54,Pro,1,0.05,2.98E+01,135.2012,TM,1000,16,1
4,1.44E+00,4.54,Pro,1,0.05,2.88E+01,130.8428,TM,0,18,1
5,1.50E+00,4.54,Pro,1,0.05,3.00E+01,136.2,TM,100,18,1
6,1.52E+00,4.54,Pro,1,0.05,3.05E+01,138.2884,TM,1000,18,1
7,1.47E+00,4.54,Pro,1,0.05,2.95E+01,133.7484,TM,0,20,1
8,1.57E+00,4.54,Pro,1,0.05,3.15E+01,142.8284,TM,100,20,1
9,1.54E+00,4.54,Pro,1,0.05,3.08E+01,139.832,TM,1000,20,1
10,1.48E+00,4.54,Pro,1,0.05,2.95E+01,133.93,TM,0,22,1
11,1.48E+00,4.54,Pro,1,0.05,2.96E+01,134.2932,TM,100,22,1
12,1.57E+00,4.54,Pro,1,0.05,3.14E+01,142.3744,TM,1000,22,1
13,1.39E+00,4.54,Pro,1,0.05,2.78E+01,126.212,TM,0,24,1
14,1.57E+00,4.54,Pro,1,0.05,3.14E+01,142.7376,TM,100,24,1
15,1.55E+00,4.54,Pro,1,0.05,3.09E+01,140.4676,TM,1000,24,1
16,1.45E+00,4.54,Pro,1,0.05,2.89E+01,131.3876,T,0,16,1
17,1.41E+00,4.54,Pro,1,0.05,2.82E+01,128.1188,T,100,16,1
18,1.47E+00,4.54,Pro,1,0.05,2.93E+01,133.2036,T,1000,16,1
19,1.45E+00,4.54,Pro,1,0.05,2.90E+01,131.66,T,0,18,1
20,1.59E+00,4.54,Pro,1,0.05,3.18E+01,144.2812,T,100,18,1
21,1.60E+00,4.54,Pro,1,0.05,3.19E+01,144.9168,T,1000,18,1
22,1.66E+00,4.54,Pro,1,0.05,3.32E+01,150.8188,T,0,20,1
23,1.48E+00,4.54,Pro,1,0.05,2.97E+01,134.7472,T,100,20,1
24,1.59E+00,4.54,Pro,1,0.05,3.19E+01,144.6444,T,1000,20,1
25,1.44E+00,4.54,Pro,1,0.05,2.88E+01,130.8428,T,0,22,1
26,1.52E+00,4.54,Pro,1,0.05,3.05E+01,138.2884,T,100,22,1
27,1.63E+00,4.54,Pro,1,0.05,3.26E+01,147.8224,T,1000,22,1
28,1.72E+00,4.54,Pro,1,0.05,3.45E+01,156.4484,T,0,24,1
29,1.65E+00,4.54,Pro,1,0.05,3.30E+01,149.7292,T,100,24,1
30,1.64E+00,4.54,Pro,1,0.05,3.29E+01,149.2752,T,1000,24,1
M0,3.39E+00,4.11,Arg,1,0.05,6.77E+01,278.247,,,,
M0,2.29E+00,4.11,Arg,1,0.05,4.59E+01,188.4846,,,,
