"batch","amino_acid","sample","ratio","condition","ratio_sample_is","ratio_adj","concentration_sample_uM","cell_line","dox_conc","timepoint","replicate","mean_m0","ratio_to_m0","AA_concentration_mM","AA_concentration_uM","mean_glc_m0","correction_factor","final_concentration","final_concentration_uM","concentration_sample_mM","keep_manual_inspection","mean_concentration_mM","substraction","interval","mean_auc","CORE_value"
1,"Gln","11",21.1,4.09,0.05,421,1722.708,"TM",100,22,1,2070.767,0.831917835275528,2.5,2500,NA,NA,2079.79458818882,2079.79458818882,1.722708,"y",2.070767,-0.0005220885,28,9122357.54912758,-5.72317514620911e-11
1,"Gln","12",18.8,4.09,0.05,375,1535.386,"TM",1000,22,1,2070.767,0.741457633813944,2.5,2500,NA,NA,1853.64408453486,1853.64408453486,1.535386,"y",2.070767,-0.0008030715,28,9122357.54912758,-8.8033328629703e-11
1,"Gln","13",21.4,4.09,0.05,428,1751.338,"TM",0,24,1,2070.767,0.84574363025874,2.5,2500,NA,NA,2114.35907564685,2114.35907564685,1.751338,"y",2.070767,-0.0004791435,30,10336548.2777019,-4.63543038862995e-11
1,"Gln","14",24.5,4.09,0.05,490,2004.918,"TM",100,24,1,2070.767,0.968200671538614,2.5,2500,NA,NA,2420.50167884653,2420.50167884653,2.004918,"y",2.070767,-9.87735000000001e-05,30,10336548.2777019,-9.55575278578007e-12
1,"Gln","15",22.7,4.09,0.05,454,1856.042,"TM",1000,24,1,2070.767,0.896306537625914,2.5,2500,NA,NA,2240.76634406478,2240.76634406478,1.856042,"y",2.070767,-0.0003220875,30,10336548.2777019,-3.11600634318915e-11
1,"Gln","16",20.6,4.09,0.05,412,1683.444,"T",0,16,1,2070.767,0.812956745012838,2.5,2500,NA,NA,2032.3918625321,2032.3918625321,1.683444,"y",2.070767,-0.0005809845,22,6085415.94208765,-9.54716169821399e-11
1,"Gln","17",19.9,4.09,0.05,398,1627.82,"T",100,16,1,2070.767,0.786095200474027,2.5,2500,NA,NA,1965.23800118507,1965.23800118507,1.62782,"y",2.070767,-0.0006644205,22,6085415.94208765,-1.09182429980631e-10
1,"Gln","18",23.7,4.09,0.05,475,1941.932,"T",1000,16,1,2070.767,0.937783922575548,2.5,2500,NA,NA,2344.45980643887,2344.45980643887,1.941932,"y",2.070767,-0.0001932525,22,6085415.94208765,-3.17566624597403e-11
1,"Gln","19",19.9,4.09,0.05,398,1629.456,"T",0,18,1,2070.767,0.786885245901639,2.5,2500,NA,NA,1967.2131147541,1967.2131147541,1.629456,"y",2.070767,-0.0006619665,24,7005915.22298741,-9.44867985024988e-11
1,"Gln","20",20.5,4.09,0.05,409,1673.628,"T",100,18,1,2070.767,0.808216472447166,2.5,2500,NA,NA,2020.54118111791,2020.54118111791,1.673628,"y",2.070767,-0.0005957085,24,7005915.22298741,-8.50293617663821e-11
1,"Gln","21",19.8,4.09,0.05,396,1618.004,"T",1000,18,1,2070.767,0.781354927908355,2.5,2500,NA,NA,1953.38731977089,1953.38731977089,1.618004,"y",2.070767,-0.0006791445,24,7005915.22298741,-9.69387265451957e-11
1,"Gln","22",21,4.09,0.05,419,1713.71,"T",0,20,1,2070.767,0.827572585423662,2.5,2500,NA,NA,2068.93146355915,2068.93146355915,1.71371,"y",2.070767,-0.0005355855,26,8015331.07929134,-6.68201344026519e-11
